No.	APIs	Outline	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
1	:ref:`Init<api-init>`	Initialize the Camera Remote SDK for use.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
2	:ref:`Release<api-release>`	Terminate the Camera Remote SDK.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
3	:ref:`GetSDKVersion<api-get-sdk-version>`	Get SDK version number.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
4	:ref:`GetSDKSerial<api-get-sdk-serial>`	Get SDK serial number.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
5	:ref:`EditSDKInfo<api-edit-sdk-info>`	Edit the information about the SDK stored in the config file.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
6	:ref:`EnumCameraObjects<api-enum-camera-objects>`	Make a list of corresponding camera for the Camera Remote SDK.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
7	:ref:`CreateCameraObjectInfo<api-create-camera-object-info>`	Create an ICrCameraObjectInfo object represents a Camera.	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
8	:ref:`CreateCameraObjectInfoUSBConnection<api-create-camera-object-info-usb-connection>`	Create an ICrCameraObjectInfo object that represents a camera to be connecting via USB.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
9	:ref:`CreateCameraObjectInfoEthernetConnection<api-create-camera-object-info-ether-connection>`	Create an ICrCameraObjectInfo object that represents a camera to be connecting via Ethernet.	R/C/T	✔	✔	✔	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
10	:ref:`GetFingerprint<api-get-finger-print>`	Get the fingerprint of the camera to connect with SSH authentication.	R/C/T	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
11	:ref:`Connect<api-connect>`	Connect to a Camera using a ICrCameraObjectInfo object before manipulation.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
12	:ref:`Disconnect<api-disconnect>`	Disconnect from the Camera after use.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
13	:ref:`ReleaseDevice<api-release-device>`	Remove resources allocated with the Connect function.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
14	:ref:`GetDeviceProperties<api-get-device-properties>`	Read camera settings.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
15	:ref:`ReleaseDeviceProperties<api-release-device-properties>`	Release the CrDeviceProperty objects allocated by GetDeviceProperties.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
16	:ref:`SetDeviceProperty<api-set-device-property>`	Set camera settings.	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
17	:ref:`SendCommand<api-send-command>`	Send control command.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
18	:ref:`GetLiveViewImage<api-get-liveview-image>`	Read the latest live-view image data from the Camera into the memory of the current machine.	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
19	:ref:`GetLiveViewImageInfo<api-get-liveview-image-info>`	This function returns the size of the live-view image. 	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
20	:ref:`GetLiveViewProperties<api-get-liveview-properties>`	Get live view properties from the camera.	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-
21	:ref:`ReleaseLiveViewProperties<api-release-liveview-properties>`	Release the CrLiveViewProperty objects allocated by GetLiveViewProperties.	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-
22	:ref:`GetDeviceSetting<api-get-device-setting>`	This function returns the value of settings in the Camera Remote SDK.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
23	:ref:`SetDeviceSetting<api-set-device-setting>`	This function modifies the value of settings in the Camera Remote SDK.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔
24	:ref:`SetDeviceSetting<api-set-device-setting>`	The input parameter “Setting_Key_PartialBuffer” is available.	R/C/T	✔	✔	\*2	✔	\*2	✔	\-	\-	✔	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
25	:ref:`SetSaveInfo<api-set-save-info>`	This function modifies settings for saving pictures.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
26	:ref:`GetSelectDeviceProperties<api-get-select-device-properties>`	Specify and read the device property from the camera.	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
27	:ref:`GetSelectLiveViewProperties<api-get-select-liveview-properties>`	Specify and read the live view property from the camera.	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-
28	:ref:`GetDateFolderList<api-get-date-folder-list>`	Get date folder.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
29	:ref:`GetContentsHandleList<api-get-contents-handle-list>`	Get content handle array in the date folder.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
30	:ref:`GetContentsDetailInfo<api-get-contents-detail-info>`	Get contents Information.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
31	:ref:`ReleaseDateFolderList<api-release-date-folder-list>`	Release the CrMtpFolderInfo objects allocated by GetDateFolderList.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
32	:ref:`ReleaseContentsHandleList<api-release-contents-handle-list>`	Release the CrMtpContentsInfo object allocated by GetContentsHandleList.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
33	:ref:`PullContentsFile (\*1)<api-pull-contents-file>`	Get(download) contents file.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
34	:ref:`GetContentsThumbnailImage<api-get-contents-thumbnail-image>`	Read thumbnail image data into the memory of the current machine.	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
35	:ref:`DownloadSettingFile<api-download-setting-file>`	Get(download) the camera settings file.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
36	:ref:`UploadSettingFile<api-upload-setting-file>`	Update(upload) the camera settings file.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
37	:ref:`RequestDisplayStringList<api-request-display-string-list>`	Request a list of display menu strings.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
38	:ref:`GetDisplayStringTypes<api-get-display-string-types>`	Get referenceable display menu string type.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
39	:ref:`GetDisplayStringList<api-get-display-string-list>`	Get the list of display menu strings.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
40	:ref:`ReleaseDisplayStringTypes<api-release-display-string-types>`	Release the CrDisplayStringType objects allocated by GetDisplayStringTypes.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
41	:ref:`ReleaseDisplayStringList<api-release-display-string-list>`	Release the CrDisplayStringListInfo objects allocated by GetDisplayStringList.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
